,아티스트,제목,곡의 빠르기,잡음,진폭의 변화,주파수의 밝기,파워
40,ITZY(있지),B[OO]M-BOXX,123.046875,504894,6242.978956166315,2968.451031621086,0.33052558
41,ITZY(있지),달라달라 [DALLA DALLA],123.046875,484596,6629.760623094512,3045.958089598684,0.26571402
42,IU,Voice Mail (Korean Ver.),117.45383522727272,381424,3482.986972687571,1699.0115977854507,0.17864159
43,IU,금요일에 만나요 (Feat. 장이정 of HISTORY),161.4990234375,424748,5290.850518800786,2314.831181677362,0.23266473
44,IU,사랑이 잘 (With 오혁),129.19921875,435044,5518.649417893978,2506.8251144885144,0.26766253
45,IU,싫은 날,129.19921875,430350,4248.720355387612,2048.433545823068,0.15476158
46,IU,있잖아 (Rock Version),151.99908088235293,579566,6466.601565472974,2999.840101319868,0.29311183
47,M.C The Max,One Love,69.83741554054055,557204,4726.387325070178,2151.6202744829734,0.17141622
48,M.C The Max,사랑의 時,63.02400914634146,330308,3880.460154984476,1800.77571557305,0.22264957
49,Mayson The Soul,홀리데이 (Feat. Beenzino),117.45383522727272,572732,4480.148008771917,2175.5489989709745,0.23802607
50,MC Sniper,민초의 난 (추노 OST),143.5546875,322570,4634.574916536008,2144.9298904039224,0.27115026
51,MC 몽,Lucky Man,117.45383522727272,671994,6353.899579089433,2916.36054781446,0.27680296
52,MC 몽,그래도 남자니까,92.28515625,431558,5120.900391892714,2341.1576249285176,0.2464593
53,miss A,No Mercy,143.5546875,552782,5416.660733635253,2530.946689982501,0.30335745
54,Miya,바람에게 부탁해,143.5546875,245678,5697.130791598961,2514.763498793525,0.22733049
55,MOBB,빨리 전화해 (Feat. KUSH),112.34714673913044,418734,6533.190548152885,2870.3833418414347,0.37880713
56,Nell,Good Night,172.265625,523710,4714.854138206591,2147.455700696644,0.24852762
57,Nell,기억을 걷는 시간,89.10290948275862,549140,4698.089144528642,2193.692137306865,0.19916959
58,S.E.S,Be Natural,89.10290948275862,810822,6264.110905283505,2929.384610293987,0.23011766
59,S.E.S,Just a Feeling (Remix Ver.),112.34714673913044,754078,7016.629133802628,3276.9027709782067,0.21374036
60,San E,Rap Circus,161.4990234375,476222,4303.191700255699,2087.3149700086465,0.28358147
61,SG 워너비,Timeless,107.666015625,623262,6008.780955458456,2768.959575665205,0.18571047
62,SIM2,"We call it (Feat. Hauzee, kenessi)",99.38401442307692,675314,6061.790251569281,3155.087021113925,0.21560566
63,SIM2,"위태로워 (Feat. Rovv, BOiTELLO, Holynn)",112.34714673913044,519926,6350.930179458067,2939.2443016480474,0.2405452
