아티스트,제목,곡의 빠르기,잡음,진폭의 변화,주파수의 밝기,파워,X,Y
비바 소울,Cry (Feat. 하동균),0.2083709341932341,0.23644884305516722,0.4596495317863299,0.36512983448910596,0.5958331135301475,32.427992521990504,33.153244259091224
비스트,12시 30분,0.2083709341932341,0.5290073105574814,0.5822453486683845,0.507107107091232,0.8456378207426907,50.500067357870854,43.86833779592341
비투비(BTOB),봄날의 기억,0.05627712148977717,0.299030118527284,0.3981490711248114,0.2651746828803768,0.8126346855953278,31.827822278140182,26.63420798092097
빅마마,Break Away,0.08644037671339949,0.5219823838170129,0.3287865029483674,0.29045400436262847,0.21663377739152112,34.254710763457346,23.228586826841237
빅마마,체념,0.761206540659798,0.373173190055556,0.0805111046586039,0.07773055569871884,0.06471042960174844,33.18569036159494,37.99193103011141
빅뱅(Big Bang),Dirty Cash,0.6654853730091297,0.7836988762019969,0.7604246489369908,0.8479971843973162,0.7367384224171256,75.71351155514671,73.99222457324255
빅뱅(Big Bang),IF YOU,0.847155427871578,0.15107790469224414,0.22643921376434734,0.16240155093115216,0.6180949851682167,35.31997438140196,49.35476130737772
빅뱅(Big Bang),This Love,0.16724242015660895,0.7908644718593911,0.8089605115604599,0.8780826277494724,0.29863898230342434,62.92585360924599,51.32559413409116
빅뱅(Big Bang),착한 사람,0.5681621000271329,0.19024210924409735,0.4254426340216668,0.3983783220595068,0.2427360812001052,33.89292308333601,43.53268502715081
빈첸(VINXEN),전혀 (Feat. 우원재) (Prod. GroovyRoom),0.2083709341932341,0.16901739304287233,0.3025952045276378,0.3064710183595701,0.47557304638984366,24.80045914362647,26.962066219800683
샤크라,끝[End],0.847155427871578,0.19077787462807327,0.444826430088816,0.37329475735072865,0.6249799997279315,43.45349971511742,58.406219607214055
샵(s#arp),내 입술 따뜻한 커피처럼,0.13409901690031967,0.18591333193346365,0.24111960455620685,0.2198977829126475,0.24509509703493615,19.590834505944912,18.89439271507387
"서울시립교향악단, 박인영",빨간 맛 [Red Flavor] (Orchestra Ver.),0.5681621000271329,0.21947370615117456,0.05620283336728562,0.07711908979481906,0.01954064430201008,22.232844254903647,27.783065968859255
선미,24시간이 모자라,0.6654853730091297,0.6185973734291955,0.7037585107948391,0.7979029533487694,0.4619587801775836,64.72738994851073,67.45820573930516
소녀시대,Gee,0.2083709341932341,0.76234504674932,0.9083991954534982,0.9259096155867578,0.15181337950838797,63.6064344138589,54.162597851111556
소울라이츠,도시의 밤,0.10757579672157624,0.161094077416232,0.12056201362142643,0.08789893340171523,0.21487286276632178,14.034237265189702,12.23192021115142
송지은,희망고문,0.847155427871578,0.10381866726253641,0.32592501449119304,0.2918578022974161,0.7910590551643135,38.44352411237418,55.19065067490381
수란(SURAN),오늘 취하면 (Feat.창모) (Prod. SUGA),0.847155427871578,0.853551828513099,0.9497571285979027,0.8898947480170174,0.8036652390624812,87.01592414070856,87.25142532291733
