제품코드,약식품번(제품번호와같이키값으로사용),제품명,규격,"품목자산분류(102201:완제품,102202:반제품,102203:원재료,102204:상품)"
PEMA033035303,808906,CSA5000 삼표(성수),,102201
PEMA033035307,808518,CSA5000삼표(풍납),,102201
PEMA033035309,808283,CSA5000삼표(용인),,102201
PEMA033035315,808831,PEMA-HR1500삼표(오산),,102201
PEMA033038100,808121,CSA5000서인(서산),,102201
PEMA033040000,808611,PEMA-580FX성보넥스코(남원),,102201
PEMA033040300,806741,PEMA-CR1000성신(공주),,102201
PEMA033041000,808575,PEMA-HR1000성원(완주),,102201
PEMA033041500,804207,PEMA-HR1000성진(동탄),,102201
PEMA033041501,768618,PEMA-SR3000F성진(인천),,102201
PEMA033042801,807547,PEMA-HR1000세종(화성),,102201
PEMA033043200,806499,PEMA-SR2000세진(광주),,102201
PEMA033043500,804997,PEMA-HR1000세화(안산),,102201
PEMA033045300,806110,PEMA-SR2000신성(화순),,102201
PEMA033046500,766284,PEMA-HR1000신일(송파),,102201
PEMA033048300,765329,CSA5000서산(서산),,102201
PEMA033049301,808282,PEMA-SR2000아세아(안양),,102201
PEMA033058615,808730,PEMA-PCM2000유진(평택),,102201
PEMA033060200,807023,PEMA-HR1500일강(해남),,102201
PEMA033061000,807553,PEMA-SR2000일진(양평),,102201
PEMA033063700,805758,PEMA-HR1000제일(포항),,102201
PEMA033067600,804550,PEMA-HR1000진남(여수),,102201
PEMA033072700,782823,PEMA-SR2000태양(대구),PEMA21278,102201
PEMA033074100,806762,PEMA-580FX파워텍(음성),,102201
PEMA033078012,766954,PEMA-HR1000한라(천안),,102201
PEMA033078017,808816,PEMA-SR2000한라(온산),,102201
PEMA033079200,804758,PEMA-HR1000한양(대구),,102201
PEMA033080100,805793,PEMA-HR1000한일(대구),,102201
PEMA033082100,808153,PEMA-SR2000대원씨엔엠(울산),,102201
PEMA033084300,808919,PEMA-HR1500 호성(순천),,102201
PEMA033085300,769160,PEMA-SR3000F흥국(미사리),,102201
PEMA033088300,804357,PEMA-HR1000성진(안양),,102201
PEMA033090200,807862,PEMA-HR1000남원(남원),,102201
PEMA033090700,804479,SRE-200삼영씨앤텍(양주),PEMA30269,102201
PEMA033090900,809024,PEMA-HR1000 남신(남원),,102201
PEMA033091500,805839,PEMA-HR1000울산(울산),,102201
PEMA033099600,807639,PEMA-HR1000삼성(남원),,102201
PEMA033101400,808193,PEMA-580FX하나(금산),,102201
PEMA033103000,808469,PEMA-580FX미래(담양),,102201
PEMA033105800,808974,PEMA-HR1500 대동(영양),,102201
PEMA033109400,808592,PEMA-SR3000F보광(대구),,102201
PEMA033109700,806453,CSA5000우진(경주),,102201
PEMA033114500,808039,CSA5000우리도시(안성),,102201
PEMA033117000,809004,PEMA-HR1500 알파(공주),,102201
PEMA033120100,809028,PEMA-SR3000F 성우(영동),,102201
PEMA033120700,808138,CSA5000삼일(안성),,102201
PEMA033125000,808180,PEMA-SR3000F세진(부산),,102201
PEMA033126700,808389,PEMA-SR2000합천(합천),,102201
PEMA033127000,808331,PEMA-HR1000F/A15%창원(창원),,102201
PEMA043001000,808307,PEMA-SR3000F강원(인천),,102201
PEMA043001100,780238,PEMA-HR1000대신(동해),PEMA311543,102201
